full_name,conference,division,team,position,age,birthday,Team,Division,Conferece,AFC EAST,AFC NORTH,AFC WEST,AFC SOUTH,NFC EAST,NFC NORTH,NFC WEST,NFC SOUTH
Jonathan Taylor,AFC,AFC SOUTH,IND,RB,23,1/19/1999,BUF,AFC EAST,AFC,BUF,CIN,KC,IND,DAL,GB,TB,LAR
Austin Ekeler,AFC,AFC WEST,LAC,RB,26,1995-05-17,NE,AFC EAST,AFC,NE,PIT,LV,TEN,PHI,MIN,NO,ARI
Derrick Henry,AFC,AFC SOUTH,TEN,RB,28,1994-01-04,MIA,AFC EAST,AFC,MIA,CLE,LAC,HOU,WAS,CHI,ATL,SF
Christian McCaffrey,NFC,NFC SOUTH,CAR,RB,25,1996-06-07,NYJ,AFC EAST,AFC,NYJ,BAL,DEN,JAX,NYG,DET,CAR,SEA
Dalvin Cook,NFC,NFC NORTH,MIN,RB,26,1995-08-10,CIN,AFC NORTH,AFC,,,,,,,,
Cooper Kupp,NFC,NFC WEST,LAR,WR,28,1993-06-15,PIT,AFC NORTH,AFC,,,,,,,,
Najee Harris,AFC,AFC NORTH,PIT,RB,24,1998-03-09,CLE,AFC NORTH,AFC,,,,,,,,
Davante Adams,AFC,AFC WEST,LV,WR,29,1992-12-24,BAL,AFC NORTH,AFC,,,,,,,,
Cam Akers,NFC,NFC WEST,LAR,RB,22,1999-06-22,KC,AFC WEST,AFC,,,,,,,,
Justin Jefferson,NFC,NFC NORTH,MIN,WR,22,1999-06-16,LV,AFC WEST,AFC,,,,,,,,
Joe Mixon,AFC,AFC NORTH,CIN,RB,25,1996-07-24,LAC,AFC WEST,AFC,,,,,,,,
Tyreek Hill,AFC,AFC EAST,MIA,WR,28,1994-03-01,DEN,AFC WEST,AFC,,,,,,,,
Ja'Marr Chase,AFC,AFC NORTH,CIN,WR,22,2000-03-01,IND,AFC SOUTH,AFC,,,,,,,,
Stefon Diggs,AFC,AFC EAST,BUF,WR,28,1993-11-29,TEN,AFC SOUTH,AFC,,,,,,,,
D'Andre Swift,NFC,NFC NORTH,DET,RB,23,1999-01-14,HOU,AFC SOUTH,AFC,,,,,,,,
Javonte Williams,AFC,AFC WEST,DEN,RB,21,2000-04-25,JAX,AFC SOUTH,AFC,,,,,,,,
Alvin Kamara,NFC,NFC SOUTH,NO,RB,26,1995-07-25,DAL,NFC EAST,NFC,,,,,,,,
Travis Kelce,AFC,AFC WEST,KC,TE,32,1989-10-05,PHI,NFC EAST,NFC,,,,,,,,
Josh Allen,AFC,AFC EAST,BUF,QB,25,1996-05-21,WAS,NFC EAST,NFC,,,,,,,,
Deebo Samuel,NFC,NFC WEST,SF,WR,26,1996-01-15,NYG,NFC EAST,NFC,,,,,,,,
Mark Andrews,AFC,AFC NORTH,BAL,TE,26,1995-09-06,GB,NFC NORTH,NFC,,,,,,,,
A.J. Brown,AFC,AFC SOUTH,TEN,WR,24,1997-06-30,MIN,NFC NORTH,NFC,,,,,,,,
Jaylen Waddle,AFC,AFC EAST,MIA,WR,23,1998-11-25,CHI,NFC NORTH,NFC,,,,,,,,
CeeDee Lamb,NFC,NFC EAST,DAL,WR,22,1999-04-08,DET,NFC NORTH,NFC,,,,,,,,
Nick Chubb,AFC,AFC NORTH,CLE,RB,26,1995-12-27,TB,NFC SOUTH,NFC,,,,,,,,
Antonio Gibson,NFC,NFC EAST,WAS,RB,23,1998-06-23,NO,NFC SOUTH,NFC,,,,,,,,
Keenan Allen,AFC,AFC WEST,LAC,WR,29,1992-04-27,ATL,NFC SOUTH,NFC,,,,,,,,
Saquon Barkley,NFC,NFC EAST,NYG,RB,25,1997-02-09,CAR,NFC SOUTH,NFC,,,,,,,,
Diontae Johnson,AFC,AFC NORTH,PIT,WR,25,1996-07-05,LAR,NFC WEST,NFC,,,,,,,,
David Montgomery,NFC,NFC NORTH,CHI,RB,24,1997-06-07,ARI,NFC WEST,NFC,,,,,,,,
Kyle Pitts,NFC,NFC SOUTH,ATL,TE,21,2000-10-06,SF,NFC WEST,NFC,,,,,,,,
Tee Higgins,AFC,AFC NORTH,CIN,WR,23,1999-01-18,SEA,NFC WEST,NFC,,,,,,,,
Aaron Jones,NFC,NFC NORTH,GB,RB,27,1994-12-02,,,,,,,,,,,
D.K. Metcalf,NFC,NFC WEST,SEA,WR,24,1997-12-14,,,,,,,,,,,
Mike Evans,NFC,NFC SOUTH,TB,WR,28,1993-08-21,,,,,,,,,,,
